"ID","EngDispl","NumCyl","Transmission","FE","AirAspirationMethod","NumGears","TransLockup","TransCreeperGear","DriveDesc","IntakeValvePerCyl","ExhaustValvesPerCyl","CarlineClassDesc","VarValveTiming","VarValveLift","ModelYear"
15,2.4,4,"S4",37.4902,"NaturallyAspirated",4,1,0,"TwoWheelDriveFront",2,2,"SubcompactCars",0,1,2010
16,2.5,4,"M5",38.6,"NaturallyAspirated",5,0,0,"TwoWheelDriveFront",2,2,"SpecialPurposeVehicleSUV2WD",1,0,2010
17,2.5,4,"M6",46.8,"NaturallyAspirated",6,0,0,"TwoWheelDriveFront",2,2,"MidsizeCars",1,0,2010
18,4.4,8,"S8",30.548,"Turbocharged",8,1,0,"AllWheelDrive",2,2,"LargeCars",1,0,2011
19,4.8,8,"A4",26.2125,"NaturallyAspirated",4,1,0,"TwoWheelDriveRear",1,1,"StandardPickupTrucks2WD",1,0,2010
20,3.6,6,"A7",37.2998,"NaturallyAspirated",7,1,0,"TwoWheelDriveRear",2,2,"LargeCars",1,1,2011
21,6,8,"AV",32.4,"NaturallyAspirated",1,0,0,"FourWheelDrive",1,1,"SpecialPurposeVehicleSUV4WD",1,0,2011
22,3.6,6,"S6",37,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",2,2,"SmallStationWagons",1,0,2010
23,2,4,"A4",41.5,"NaturallyAspirated",4,1,0,"TwoWheelDriveFront",2,2,"MidsizeCars",1,0,2011
24,6,8,"A6",21.4734,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",1,1,"VansCargoTypes",1,0,2011
25,3.6,6,"A7",36.7563,"NaturallyAspirated",7,0,0,"FourWheelDrive",2,2,"MinicompactCars",1,1,2010
26,5.9,12,"M6",23.6523,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",2,2,"MinicompactCars",0,0,2010
27,5.2,10,"AM6",24.8,"NaturallyAspirated",6,0,0,"AllWheelDrive",2,2,"2Seaters",1,0,2010
28,2.9,6,"M6",37.3296,"NaturallyAspirated",6,0,0,"TwoWheelDriveRear",2,2,"2Seaters",1,1,2010
29,3.8,6,"M6",34.5148,"NaturallyAspirated",6,0,0,"FourWheelDrive",2,2,"MinicompactCars",1,1,2010
30,3.5,6,"S5",33.1,"NaturallyAspirated",5,1,0,"TwoWheelDriveFront",2,2,"SpecialPurposeVehicleSUV2WD",1,0,2010
31,2,4,"M5",40,"Turbocharged",5,0,0,"TwoWheelDriveRear",2,2,"2Seaters",1,0,2010
32,6.7,12,"S6",24.2,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",2,2,"CompactCars",1,0,2010
33,3,6,"A6",31.3917,"NaturallyAspirated",6,1,0,"FourWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0,2010
34,2.4,4,"A5",43.2916,"NaturallyAspirated",5,1,0,"TwoWheelDriveFront",2,2,"LargeCars",1,1,2010
35,6,8,"A6",21.7,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",1,1,"SpecialPurposeVehicleSUV2WD",1,0,2011
36,6,8,"A6",21.8,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",1,1,"VansPassengerType",1,0,2011
37,2.4,4,"A4",41.5,"NaturallyAspirated",4,1,0,"TwoWheelDriveFront",2,2,"SpecialPurposeVehicleSUV2WD",1,0,2010
38,6.3,8,"AM7",26,"NaturallyAspirated",7,1,0,"TwoWheelDriveRear",2,2,"2Seaters",1,0,2011
39,3,6,"M6",35.2678,"Turbocharged",6,0,0,"TwoWheelDriveRear",2,2,"2Seaters",1,0,2010
40,4.6,8,"A5",29.14,"Supercharged",5,1,0,"TwoWheelDriveRear",2,1,"SubcompactCars",1,0,2010
41,3,6,"S6",29.7892,"Turbocharged",6,1,0,"AllWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0,2010
42,2.7,6,"A5",39.8,"NaturallyAspirated",5,1,0,"TwoWheelDriveFront",2,2,"MidsizeCars",1,0,2010
43,5.7,8,"S6",24.1491,"NaturallyAspirated",6,1,0,"FourWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0,2010
44,5.7,8,"S6",25.5551,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",2,2,"StandardPickupTrucks2WD",1,0,2010
45,6.1,8,"A5",26,"NaturallyAspirated",5,1,0,"TwoWheelDriveRear",1,1,"LargeCars",0,0,2010
46,3.7,5,"A4",29.7999,"NaturallyAspirated",4,1,0,"FourWheelDrive",2,2,"SmallPickupTrucks4WD",0,0,2010
47,2,4,"S6",38.512,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",2,2,"2Seaters",1,0,2010
48,2.4,4,"AV",48.2,"NaturallyAspirated",1,0,0,"TwoWheelDriveFront",2,2,"MidsizeCars",1,0,2010
49,3.6,6,"S6",26.1066,"NaturallyAspirated",6,0,0,"AllWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0,2010
50,3.5,6,"S6",32.2,"NaturallyAspirated",6,1,1,"TwoWheelDriveFront",2,2,"SpecialPurposeVehicleSUV2WD",1,0,2010
51,2.4,4,"S6",46.9,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"MidsizeCars",1,0,2010
52,3.5,6,"A5",28.2,"NaturallyAspirated",5,1,0,"AllWheelDrive",2,2,"StandardPickupTrucks4WD",1,1,2010
53,3.7,6,"S6",28.7,"NaturallyAspirated",6,1,0,"FourWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0,2010
54,4.4,8,"M6",31.1757,"Turbocharged",6,0,0,"TwoWheelDriveRear",2,2,"CompactCars",1,0,2012
55,4.6,8,"A4",33.3052,"NaturallyAspirated",4,1,1,"TwoWheelDriveRear",1,1,"LargeCars",0,0,2010
56,2.5,4,"S4",36.6557,"NaturallyAspirated",4,1,0,"AllWheelDrive",2,2,"CompactCars",0,1,2011
57,3.8,6,"M6",34.5148,"NaturallyAspirated",6,0,0,"FourWheelDrive",2,2,"MinicompactCars",1,1,2010
58,4.8,8,"A4",24.1534,"NaturallyAspirated",4,1,0,"FourWheelDrive",1,1,"StandardPickupTrucks4WD",1,0,2010
59,4.7,8,"A5",25.6,"NaturallyAspirated",5,1,0,"TwoWheelDriveRear",1,1,"StandardPickupTrucks2WD",0,0,2010
60,2,4,"M5",49.217,"NaturallyAspirated",5,0,0,"TwoWheelDriveFront",2,2,"MidsizeCars",1,0,2010
61,2,4,"S5",46.624,"NaturallyAspirated",5,1,0,"TwoWheelDriveFront",2,2,"CompactCars",1,0,2010
62,4,6,"A5",26.3846,"NaturallyAspirated",5,1,0,"FourWheelDrive",2,2,"SmallPickupTrucks4WD",1,0,2010
63,2,4,"S6",42,"Turbocharged",6,0,0,"TwoWheelDriveFront",2,2,"MidsizeCars",1,0,2010
64,3.5,6,"A6",33,"NaturallyAspirated",6,1,1,"TwoWheelDriveFront",2,2,"LargeCars",1,0,2010
65,2,4,"A6",43.5,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"MidsizeCars",1,0,2011
66,6,12,"A5",25,"Turbocharged",5,1,0,"TwoWheelDriveRear",2,1,"2Seaters",1,0,2011
67,2.7,6,"A4",38.3,"NaturallyAspirated",4,1,0,"TwoWheelDriveFront",2,2,"MidsizeCars",0,0,2010
68,4.6,8,"A6",29,"NaturallyAspirated",6,1,1,"TwoWheelDriveRear",2,1,"SpecialPurposeVehicleSUV2WD",0,0,2010
69,3.5,6,"A7",28.7,"NaturallyAspirated",7,1,0,"TwoWheelDriveRear",2,2,"SpecialPurposeVehicleSUV2WD",1,0,2010
70,2.5,5,"M6",38.6,"Turbocharged",6,0,0,"TwoWheelDriveFront",2,2,"SubcompactCars",1,0,2010
71,3.7,6,"S7",35.2288,"NaturallyAspirated",7,1,0,"TwoWheelDriveRear",2,2,"SubcompactCars",1,1,2010
72,4,8,"M6",28.4,"NaturallyAspirated",6,0,0,"TwoWheelDriveRear",2,2,"SubcompactCars",1,0,2010
73,2,4,"S6",38.4627,"Turbocharged",6,1,0,"AllWheelDrive",2,2,"CompactCars",0,0,2010
74,2.4,4,"M6",37.3,"NaturallyAspirated",6,0,0,"TwoWheelDriveFront",2,2,"SpecialPurposeVehicleSUV2WD",1,0,2011
75,1.8,4,"M5",46.9,"NaturallyAspirated",5,0,0,"TwoWheelDriveFront",2,2,"SubcompactCars",1,0,2010
76,2,4,"M6",39,"NaturallyAspirated",6,0,0,"TwoWheelDriveRear",2,2,"2Seaters",1,0,2010
77,2.5,6,"M6",36.7047,"NaturallyAspirated",6,0,0,"TwoWheelDriveRear",2,2,"SubcompactCars",1,0,2010
78,5.6,8,"A5",25.1952,"NaturallyAspirated",5,1,0,"TwoWheelDriveRear",2,2,"SpecialPurposeVehicleSUV2WD",1,0,2010
79,3.7,6,"A4",30.4,"NaturallyAspirated",4,1,0,"TwoWheelDriveRear",1,1,"SpecialPurposeVehicleSUV2WD",0,0,2011
80,6,12,"A5",21.7,"Turbocharged",5,1,0,"TwoWheelDriveRear",2,1,"LargeCars",1,0,2010
81,2,4,"AV",42.7743,"Turbocharged",1,0,0,"TwoWheelDriveFront",2,2,"CompactCars",1,1,2010
82,2.5,5,"M6",34.3,"Turbocharged",6,0,0,"AllWheelDrive",2,2,"SubcompactCars",1,0,2012
83,3,6,"S8",35.9931,"Turbocharged",8,1,0,"AllWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,1,2011
84,2.4,4,"M5",38.2,"NaturallyAspirated",5,0,0,"TwoWheelDriveFront",2,2,"SubcompactCars",1,0,2010
85,1.6,4,"S6",49.6413,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"SubcompactCars",1,1,2012
86,1.3,4,"AV",65,"NaturallyAspirated",1,1,0,"TwoWheelDriveFront",1,1,"CompactCars",1,1,2010
87,4.7,8,"A5",25.7,"NaturallyAspirated",5,1,0,"TwoWheelDriveRear",1,1,"StandardPickupTrucks2WD",0,0,2011
88,3,6,"A6",33.1,"NaturallyAspirated",6,1,0,"AllWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0,2010
89,2.5,4,"M6",40.1876,"NaturallyAspirated",6,0,0,"TwoWheelDriveFront",2,2,"CompactCars",1,0,2010
90,1.6,4,"M6",43.2979,"Turbocharged",6,0,0,"TwoWheelDriveFront",2,2,"SmallStationWagons",1,0,2011
91,3.7,6,"S6",31.3639,"NaturallyAspirated",6,0,1,"TwoWheelDriveRear",2,2,"StandardPickupTrucks2WD",1,0,2011
92,3.7,6,"S6",28.5674,"NaturallyAspirated",6,0,1,"FourWheelDrive",2,2,"StandardPickupTrucks4WD",1,0,2011
93,3,6,"M6",38.7896,"NaturallyAspirated",6,0,0,"TwoWheelDriveRear",2,2,"2Seaters",1,1,2010
94,3.4,6,"A7",40.9978,"NaturallyAspirated",7,0,0,"TwoWheelDriveRear",2,2,"2Seaters",1,1,2010
95,2,4,"AV",41.5661,"NaturallyAspirated",1,1,0,"TwoWheelDriveFront",2,2,"CompactCars",1,0,2011
96,3.8,6,"M6",27.372,"NaturallyAspirated",6,0,0,"TwoWheelDriveRear",2,2,"2Seaters",1,1,2010
97,2,4,"M5",40,"Turbocharged",5,0,0,"TwoWheelDriveRear",2,2,"2Seaters",1,0,2010
98,6.7,12,"S6",24.2,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",2,2,"MidsizeCars",1,0,2010
99,5.6,8,"A5",23.1109,"NaturallyAspirated",5,1,0,"FourWheelDrive",2,2,"StandardPickupTrucks4WD",1,0,2010
100,3.7,6,"A6",28.5668,"NaturallyAspirated",6,1,1,"FourWheelDrive",2,2,"StandardPickupTrucks4WD",1,0,2011
101,4.8,8,"A6",22.8,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",1,1,"VansPassengerType",1,0,2012
102,2,4,"AV",41.5661,"NaturallyAspirated",1,1,0,"TwoWheelDriveFront",2,2,"CompactCars",1,0,2010
103,1.8,4,"M5",44.7393,"NaturallyAspirated",5,0,0,"TwoWheelDriveFront",2,2,"SmallStationWagons",1,0,2010
104,5.4,8,"A6",24.7939,"NaturallyAspirated",6,1,0,"FourWheelDrive",2,1,"StandardPickupTrucks4WD",0,0,2010
105,2.4,4,"M6",43.0035,"NaturallyAspirated",6,0,0,"TwoWheelDriveFront",2,2,"CompactCars",1,0,2010
106,6.3,8,"A7",27.1158,"NaturallyAspirated",7,1,0,"TwoWheelDriveRear",2,2,"MidsizeCars",1,0,2010
107,5.5,8,"A7",32,"NaturallyAspirated",7,1,0,"TwoWheelDriveRear",2,2,"LargeCars",1,0,2010
108,3.4,6,"M6",36.7299,"NaturallyAspirated",6,0,0,"TwoWheelDriveRear",2,2,"2Seaters",1,1,2010
109,3,6,"A7",47.1,"Turbocharged",7,1,0,"TwoWheelDriveRear",2,2,"MidsizeCars",1,0,2011
110,5.7,8,"A5",27.2,"NaturallyAspirated",5,1,0,"TwoWheelDriveRear",1,1,"SpecialPurposeVehicleSUV2WD",1,0,2011
111,2.4,4,"A5",33.6,"NaturallyAspirated",5,1,0,"TwoWheelDriveRear",2,2,"2Seaters",1,0,2010
112,3.8,6,"A7",36.013,"NaturallyAspirated",7,0,0,"FourWheelDrive",2,2,"MinicompactCars",1,1,2010
113,3.8,6,"A7",37.0769,"NaturallyAspirated",7,0,0,"FourWheelDrive",2,2,"MinicompactCars",1,1,2010
114,1.8,4,"M5",46.9,"NaturallyAspirated",5,0,0,"TwoWheelDriveFront",2,2,"SubcompactCars",1,0,2011
115,4.7,8,"A5",24.6,"NaturallyAspirated",5,1,0,"FourWheelDrive",1,1,"StandardPickupTrucks4WD",0,0,2011
116,2.5,4,"M5",37.071,"NaturallyAspirated",5,0,0,"AllWheelDrive",2,2,"SmallStationWagons",0,1,2010
117,5.3,8,"A4",26.6,"NaturallyAspirated",4,1,0,"FourWheelDrive",1,1,"SmallPickupTrucks4WD",1,0,2010
118,1.3,4,"AV",58.7,"NaturallyAspirated",1,1,0,"TwoWheelDriveFront",2,2,"MinicompactCars",1,0,2012
119,3.7,6,"S6",34.8235,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"MidsizeCars",1,0,2010
120,2.5,5,"M6",40.4,"Turbocharged",6,0,0,"TwoWheelDriveFront",2,2,"CompactCars",1,0,2010
121,2.5,4,"A5",30.1688,"NaturallyAspirated",5,1,0,"TwoWheelDriveRear",2,2,"SmallPickupTrucks2WD",1,0,2010
122,2,4,"S6",37.7989,"Turbocharged",6,1,0,"AllWheelDrive",2,2,"CompactCars",1,1,2010
123,2.5,6,"S6",36.2901,"NaturallyAspirated",6,1,0,"AllWheelDrive",2,2,"SubcompactCars",1,0,2010
124,2,4,"AV",38,"NaturallyAspirated",1,1,0,"TwoWheelDriveFront",2,2,"SpecialPurposeVehicleSUV2WD",1,0,2010
125,3.7,6,"A6",41.4056,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",2,2,"SubcompactCars",1,0,2011
126,6.5,12,"AM7",19.9,"NaturallyAspirated",7,0,0,"AllWheelDrive",2,2,"2Seaters",1,0,2010
127,4.4,8,"S8",33.6032,"Turbocharged",8,1,0,"TwoWheelDriveRear",2,2,"LargeCars",1,0,2011
128,2,4,"M6",40.4003,"Turbocharged",6,0,0,"TwoWheelDriveFront",2,2,"SmallStationWagons",1,0,2010
129,3.2,6,"S6",34.5424,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"SpecialPurposeVehicleSUV2WD",1,0,2011
130,2,4,"M6",46.3629,"NaturallyAspirated",6,0,0,"TwoWheelDriveFront",2,2,"CompactCars",1,0,2010
131,3.6,6,"S6",40,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",2,2,"CompactCars",1,0,2010
132,5.5,8,"A7",29,"NaturallyAspirated",7,1,0,"TwoWheelDriveRear",2,2,"CompactCars",1,0,2010
133,5.2,10,"AM6",24.3325,"NaturallyAspirated",6,0,0,"AllWheelDrive",2,2,"2Seaters",1,0,2011
134,5.3,8,"A4",27.9,"NaturallyAspirated",4,1,0,"TwoWheelDriveRear",1,1,"SmallPickupTrucks2WD",1,0,2010
135,2.5,4,"S4",36.6557,"NaturallyAspirated",4,1,0,"AllWheelDrive",2,2,"SmallStationWagons",0,1,2011
136,2.5,5,"S5",38.4,"Turbocharged",5,1,0,"TwoWheelDriveFront",2,2,"SubcompactCars",1,0,2010
137,3.6,6,"S6",35.1,"NaturallyAspirated",6,0,0,"TwoWheelDriveFront",2,2,"CompactCars",1,0,2010
138,1.6,4,"A4",43.5,"NaturallyAspirated",4,1,0,"TwoWheelDriveFront",2,2,"SmallStationWagons",1,0,2010
139,2,4,"S5",38.4997,"Turbocharged",5,1,0,"TwoWheelDriveFront",2,2,"CompactCars",0,0,2010
140,3.7,6,"M6",34.7305,"NaturallyAspirated",6,0,0,"TwoWheelDriveRear",2,2,"SubcompactCars",1,1,2010
141,2.5,4,"M5",37.6,"NaturallyAspirated",5,0,0,"AllWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0,2011
142,5.9,12,"M6",22.9258,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",2,2,"MinicompactCars",0,0,2010
143,3.5,6,"A7",33.2,"NaturallyAspirated",7,1,0,"FourWheelDrive",2,2,"MidsizeCars",1,0,2010
144,6.1,8,"A5",20.9,"NaturallyAspirated",5,1,0,"FourWheelDrive",1,1,"SpecialPurposeVehicleSUV4WD",0,0,2010
145,2.4,4,"A6",37.4,"NaturallyAspirated",6,1,0,"FourWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0,2011
146,3.6,6,"S4",31,"NaturallyAspirated",4,1,0,"TwoWheelDriveFront",2,2,"CompactCars",1,0,2010
147,8.4,10,"M6",30,"NaturallyAspirated",6,0,0,"TwoWheelDriveRear",1,1,"2Seaters",1,0,2010
148,3,6,"S6",35.5404,"NaturallyAspirated",6,1,0,"AllWheelDrive",2,2,"SmallStationWagons",1,1,2010
149,3,6,"S8",32.286,"Turbocharged",8,1,0,"AllWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,1,2011
150,3,6,"S7",34,"Supercharged",7,0,0,"AllWheelDrive",2,2,"SubcompactCars",1,0,2010
151,2.4,4,"M5",42.2,"NaturallyAspirated",5,0,0,"TwoWheelDriveFront",2,2,"CompactCars",1,0,2010
152,2.5,4,"A6",42.908,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"MidsizeCars",1,0,2010
153,4.6,8,"A4",33.3052,"NaturallyAspirated",4,1,1,"TwoWheelDriveRear",1,1,"LargeCars",0,0,2010
154,1.6,4,"M6",52,"NaturallyAspirated",6,0,0,"TwoWheelDriveFront",2,2,"MinicompactCars",1,1,2010
155,1.8,4,"M6",50.8,"NaturallyAspirated",6,0,0,"TwoWheelDriveFront",2,2,"MidsizeCars",1,0,2011
156,5.5,8,"A7",20.1,"NaturallyAspirated",7,1,0,"FourWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0,2010
157,2.9,4,"M5",35.5,"NaturallyAspirated",5,0,0,"TwoWheelDriveRear",2,2,"SmallPickupTrucks2WD",0,0,2010
158,3.5,6,"S5",36.8,"NaturallyAspirated",5,1,0,"TwoWheelDriveFront",2,2,"MidsizeCars",1,1,2010
159,4.3,6,"A4",27.8522,"NaturallyAspirated",4,1,0,"TwoWheelDriveRear",1,1,"StandardPickupTrucks2WD",0,0,2010
160,5,10,"M6",23.227,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",2,2,"MidsizeCars",1,0,2010
161,3.4,6,"M6",37.055,"NaturallyAspirated",6,0,0,"TwoWheelDriveRear",2,2,"2Seaters",1,1,2012
162,5,8,"Other",34,"NaturallyAspirated",8,1,0,"TwoWheelDriveRear",2,2,"LargeCars",1,0,2012
163,2.9,4,"A4",34.1514,"NaturallyAspirated",4,1,0,"TwoWheelDriveRear",2,2,"SmallPickupTrucks2WD",0,0,2010
164,3.6,6,"M6",28.7,"NaturallyAspirated",6,0,0,"FourWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0,2012
165,4.8,8,"M6",30.5375,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",2,2,"MidsizeCars",1,1,2010
166,2.4,4,"M5",43.5,"NaturallyAspirated",5,0,0,"TwoWheelDriveFront",2,2,"CompactCars",1,1,2010
167,3.7,6,"A6",31.3641,"NaturallyAspirated",6,1,1,"TwoWheelDriveRear",2,2,"StandardPickupTrucks2WD",1,0,2011
168,6.1,8,"A5",26,"NaturallyAspirated",5,1,0,"TwoWheelDriveRear",1,1,"CompactCars",0,0,2010
169,2,4,"M6",44.708,"NaturallyAspirated",6,0,0,"TwoWheelDriveFront",2,2,"CompactCars",1,0,2011
170,6.2,8,"A6",25.7999,"NaturallyAspirated",6,1,0,"FourWheelDrive",1,1,"StandardPickupTrucks4WD",1,0,2010
171,3.5,6,"AVS6",36.4102,"NaturallyAspirated",1,1,0,"TwoWheelDriveFront",2,2,"MidsizeCars",1,0,2010
172,2.3,4,"S5",38.1,"NaturallyAspirated",5,1,0,"TwoWheelDriveFront",2,2,"SpecialPurposeVehicleminivan2WD",1,0,2010
173,3.7,6,"A4",27.8,"NaturallyAspirated",4,1,0,"TwoWheelDriveRear",1,1,"StandardPickupTrucks2WD",0,0,2011
174,2,4,"M6",46.2,"NaturallyAspirated",6,0,0,"TwoWheelDriveFront",2,2,"CompactCars",1,0,2011
175,3.5,6,"A6",30.3805,"NaturallyAspirated",6,1,1,"AllWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",0,0,2010
176,6.2,8,"M6",27.1,"Supercharged",6,0,0,"TwoWheelDriveRear",1,1,"2Seaters",0,0,2010
177,3.9,6,"A4",36.6,"NaturallyAspirated",4,1,0,"TwoWheelDriveFront",1,1,"LargeCars",1,0,2010
178,2.9,4,"M5",34.1,"NaturallyAspirated",5,0,0,"FourWheelDrive",2,2,"SmallPickupTrucks4WD",0,0,2010
179,2.4,4,"S6",42,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"MidsizeCars",1,0,2011
180,5.5,12,"A5",21.4,"Turbocharged",5,1,0,"TwoWheelDriveRear",2,1,"LargeCars",1,0,2010
181,4.6,8,"A4",31.9,"NaturallyAspirated",4,1,0,"TwoWheelDriveFront",2,2,"LargeCars",0,0,2010
182,1.8,4,"A4",44.9,"NaturallyAspirated",4,1,0,"TwoWheelDriveFront",2,2,"MidsizeCars",1,0,2010
183,3.6,6,"A6",31.6,"NaturallyAspirated",6,1,0,"AllWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,0,2010
184,2.5,4,"A6",42.908,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"MidsizeCars",1,0,2010
185,2.7,4,"S6",37,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"SpecialPurposeVehicleminivan2WD",1,0,2011
186,3.7,6,"A4",28.5,"NaturallyAspirated",4,1,0,"FourWheelDrive",1,1,"SpecialPurposeVehicleSUV4WD",0,0,2011
187,3.5,6,"AVS6",38.0169,"NaturallyAspirated",1,1,0,"TwoWheelDriveFront",2,2,"SubcompactCars",1,0,2010
188,5.7,8,"A5",27.1,"NaturallyAspirated",5,1,0,"TwoWheelDriveRear",1,1,"StandardPickupTrucks2WD",1,0,2010
189,2.4,4,"M6",44.8,"NaturallyAspirated",6,0,0,"TwoWheelDriveFront",2,2,"CompactCars",1,0,2011
190,5.4,8,"A6",24.1556,"NaturallyAspirated",6,1,1,"FourWheelDrive",2,1,"SpecialPurposeVehicleSUV2WD",1,0,2011
191,1.6,4,"M6",43.7,"Turbocharged",6,0,0,"AllWheelDrive",2,2,"CompactCars",1,1,2011
192,4.8,8,"M6",23.578,"NaturallyAspirated",6,0,0,"AllWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,1,2010
193,5.9,12,"S6",27.2408,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",2,2,"MinicompactCars",0,0,2010
194,3.5,6,"A6",34.7,"Turbocharged",6,1,1,"FourWheelDrive",2,2,"LargeCars",1,0,2010
195,1.8,4,"M5",44.8,"NaturallyAspirated",5,0,0,"TwoWheelDriveFront",2,2,"SmallStationWagons",1,0,2010
196,3.5,6,"A7",33.9,"NaturallyAspirated",7,1,0,"FourWheelDrive",2,2,"CompactCars",1,0,2010
197,3.7,6,"S6",31.6,"NaturallyAspirated",6,1,0,"AllWheelDrive",2,2,"SpecialPurposeVehicleSUV4WD",1,1,2010
198,2,4,"A4",35,"NaturallyAspirated",4,1,1,"TwoWheelDriveFront",2,2,"Other",0,0,2010
199,6.2,8,"A6",25.8026,"NaturallyAspirated",6,1,0,"FourWheelDrive",1,1,"StandardPickupTrucks4WD",1,0,2010
200,3.6,6,"A6",33,"NaturallyAspirated",6,1,0,"TwoWheelDriveFront",2,2,"SpecialPurposeVehicleSUV2WD",1,0,2010
201,2,4,"S6",60.1,"Turbocharged",6,0,0,"TwoWheelDriveFront",2,2,"CompactCars",0,0,2010
202,2,4,"A4",37.5,"NaturallyAspirated",4,1,0,"TwoWheelDriveFront",2,2,"Other",0,0,2012
203,3.5,6,"A5",41.2,"NaturallyAspirated",5,1,0,"TwoWheelDriveFront",2,2,"LargeCars",1,1,2010
204,6,8,"A6",21.4734,"NaturallyAspirated",6,1,0,"TwoWheelDriveRear",1,1,"VansCargoTypes",1,0,2011
205,5.3,8,"A4",22.9,"NaturallyAspirated",4,1,0,"AllWheelDrive",1,1,"VansCargoTypes",1,0,2010
206,4.6,8,"A4",31.9,"NaturallyAspirated",4,1,0,"TwoWheelDriveFront",2,2,"LargeCars",0,0,2010
